iter	Passed	Remaining
0	9	9396
1	18	9076
2	27	9263
3	35	8788
4	44	8796
5	52	8743
6	60	8589
7	67	8419
8	75	8323
9	83	8220
10	91	8218
11	99	8205
12	106	8078
13	113	8025
14	120	7940
15	128	7926
16	135	7854
17	142	7753
18	148	7678
19	153	7532
20	159	7447
21	165	7344
22	171	7264
23	176	7173
24	181	7061
25	186	6976
26	190	6882
27	197	6842
28	202	6764
29	207	6709
30	213	6671
31	220	6664
32	226	6646
33	234	6656
34	243	6723
35	251	6728
36	256	6676
37	262	6635
38	267	6592
39	272	6546
40	279	6539
41	284	6485
42	289	6448
43	295	6425
44	301	6401
45	306	6365
46	312	6339
47	317	6306
48	324	6292
49	329	6264
50	334	6227
51	339	6196
52	345	6182
53	353	6185
54	358	6154
55	363	6127
56	368	6102
57	373	6070
58	380	6066
59	384	6030
60	391	6022
61	397	6014
62	403	5996
63	408	5968
64	413	5952
65	420	5945
66	425	5931
67	431	5919
68	437	5907
69	443	5887
70	449	5886
71	456	5883
72	462	5873
73	469	5881
74	476	5879
75	483	5883
76	491	5892
77	498	5888
78	503	5874
79	509	5861
80	515	5850
81	521	5837
82	526	5820
83	531	5800
84	538	5793
85	544	5781
86	550	5778
87	557	5775
88	562	5759
89	568	5746
90	573	5732
91	579	5718
92	585	5707
93	590	5694
94	596	5681
95	600	5658
96	606	5641
97	611	5624
98	616	5609
99	621	5596
100	626	5577
101	631	5560
102	636	5546
103	642	5531
104	647	5517
105	652	5499
106	658	5493
107	663	5480
108	669	5469
109	674	5455
110	679	5441
111	684	5427
112	689	5412
113	694	5397
114	698	5377
115	704	5371
116	709	5357
117	714	5343
118	720	5331
119	725	5318
120	729	5296
121	734	5287
122	740	5277
123	745	5267
124	751	5260
125	757	5254
126	763	5251
127	769	5241
128	774	5230
129	779	5219
130	785	5210
131	791	5203
132	797	5198
133	803	5191
134	808	5179
135	814	5175
136	819	5161
137	824	5149
138	829	5138
139	834	5126
140	839	5116
141	845	5106
142	850	5098
143	859	5111
144	867	5117
145	873	5107
146	878	5095
147	883	5088
148	890	5086
149	897	5083
150	904	5085
151	911	5083
152	923	5115
153	931	5117
154	939	5122
155	946	5121
156	954	5123
157	961	5123
158	969	5129
159	976	5125
160	982	5118
161	989	5116
162	996	5115
163	1004	5122
164	1012	5124
165	1020	5125
166	1027	5124
167	1034	5122
168	1041	5120
169	1048	5120
170	1056	5120
171	1063	5120
172	1070	5118
173	1077	5114
174	1084	5111
175	1089	5102
176	1095	5092
177	1100	5084
178	1107	5079
179	1112	5069
180	1118	5059
181	1122	5046
182	1127	5032
183	1132	5020
184	1136	5007
185	1141	4996
186	1146	4983
187	1150	4969
188	1155	4956
189	1160	4947
190	1165	4936
191	1171	4930
192	1176	4920
193	1182	4913
194	1190	4912
195	1196	4910
196	1202	4902
197	1209	4898
198	1214	4889
199	1219	4879
200	1224	4868
201	1229	4857
202	1234	4846
203	1238	4832
204	1243	4823
205	1249	4815
206	1254	4805
207	1259	4794
208	1265	4787
209	1269	4775
210	1274	4765
211	1278	4753
212	1283	4743
213	1287	4730
214	1292	4717
215	1296	4707
216	1301	4695
217	1306	4685
218	1311	4677
219	1316	4667
220	1322	4662
221	1327	4651
222	1331	4640
223	1336	4630
224	1341	4620
225	1345	4609
226	1350	4597
227	1355	4588
228	1359	4577
229	1365	4572
230	1370	4561
231	1374	4550
232	1379	4540
233	1383	4530
234	1388	4519
235	1392	4509
236	1397	4499
237	1402	4488
238	1406	4477
239	1410	4466
240	1416	4461
241	1422	4454
242	1427	4446
243	1432	4438
244	1438	4432
245	1443	4425
246	1448	4416
247	1453	4406
248	1458	4398
249	1463	4389
250	1468	4382
251	1473	4374
252	1478	4366
253	1483	4356
254	1487	4347
255	1492	4338
256	1497	4329
257	1502	4319
258	1506	4311
259	1512	4303
260	1518	4298
261	1523	4290
262	1528	4282
263	1533	4273
264	1537	4265
265	1542	4256
266	1546	4246
267	1551	4237
268	1555	4228
269	1561	4220
270	1565	4211
271	1571	4205
272	1575	4196
273	1580	4188
274	1585	4180
275	1590	4171
276	1594	4162
277	1599	4153
278	1603	4144
279	1608	4136
280	1613	4128
281	1617	4119
282	1623	4112
283	1628	4106
284	1633	4099
285	1638	4090
286	1642	4081
287	1647	4072
288	1652	4064
289	1656	4055
290	1661	4047
291	1665	4039
292	1671	4032
293	1676	4025
294	1681	4018
295	1686	4012
296	1692	4005
297	1697	3998
298	1703	3993
299	1709	3989
300	1715	3983
301	1721	3977
302	1726	3970
303	1732	3966
304	1738	3960
305	1743	3954
306	1749	3948
307	1754	3941
308	1760	3936
309	1765	3930
310	1771	3924
311	1777	3919
312	1783	3914
313	1789	3908
314	1794	3903
315	1800	3897
316	1807	3893
317	1813	3888
318	1819	3883
319	1824	3877
320	1830	3871
321	1835	3865
322	1841	3859
323	1846	3852
324	1851	3845
325	1856	3838
326	1861	3831
327	1866	3824
328	1872	3818
329	1878	3813
330	1883	3806
331	1888	3800
332	1893	3793
333	1899	3787
334	1904	3780
335	1910	3775
336	1917	3773
337	1923	3767
338	1928	3761
339	1933	3754
340	1939	3747
341	1945	3742
342	1950	3736
343	1956	3730
344	1961	3724
345	1966	3717
346	1972	3711
347	1978	3706
348	1983	3700
349	1988	3693
350	1994	3687
351	1999	3680
352	2005	3675
353	2012	3671
354	2018	3668
355	2025	3663
356	2031	3658
357	2036	3652
358	2042	3646
359	2048	3641
360	2054	3635
361	2059	3629
362	2064	3623
363	2070	3618
364	2077	3614
365	2083	3608
366	2088	3601
367	2093	3595
368	2098	3588
369	2104	3583
370	2109	3577
371	2115	3571
372	2120	3564
373	2126	3558
374	2130	3551
375	2136	3545
376	2141	3538
377	2146	3532
378	2151	3525
379	2157	3519
380	2162	3512
381	2167	3506
382	2172	3500
383	2178	3495
384	2184	3488
385	2189	3482
386	2194	3475
387	2199	3468
388	2204	3462
389	2209	3455
390	2214	3449
391	2220	3443
392	2225	3436
393	2229	3429
394	2234	3422
395	2239	3415
396	2244	3408
397	2249	3402
398	2254	3395
399	2260	3390
400	2264	3383
401	2269	3376
402	2274	3369
403	2280	3363
404	2285	3357
405	2290	3350
406	2294	3343
407	2299	3336
408	2304	3330
409	2309	3323
410	2314	3317
411	2319	3310
412	2324	3303
413	2328	3296
414	2333	3289
415	2338	3282
416	2343	3276
417	2348	3269
418	2353	3263
419	2358	3256
420	2362	3249
421	2367	3242
422	2372	3236
423	2378	3230
424	2382	3223
425	2387	3217
426	2392	3210
427	2397	3204
428	2402	3197
429	2407	3190
430	2411	3184
431	2416	3177
432	2422	3172
433	2427	3165
434	2432	3159
435	2436	3152
436	2441	3145
437	2446	3138
438	2452	3133
439	2457	3127
440	2461	3120
441	2466	3113
442	2471	3107
443	2477	3102
444	2482	3095
445	2488	3090
446	2494	3085
447	2499	3079
448	2504	3073
449	2509	3066
450	2514	3060
451	2519	3054
452	2523	3047
453	2528	3040
454	2533	3034
455	2537	3027
456	2542	3020
457	2547	3014
458	2552	3008
459	2556	3001
460	2561	2995
461	2566	2988
462	2571	2982
463	2575	2975
464	2580	2969
465	2586	2964
466	2591	2958
467	2596	2951
468	2601	2945
469	2606	2939
470	2611	2932
471	2615	2926
472	2620	2919
473	2625	2912
474	2629	2906
475	2634	2900
476	2639	2894
477	2644	2888
478	2649	2881
479	2654	2875
480	2659	2869
481	2664	2863
482	2669	2857
483	2674	2851
484	2681	2846
485	2686	2841
486	2691	2835
487	2696	2829
488	2701	2823
489	2707	2817
490	2712	2812
491	2718	2806
492	2723	2801
493	2729	2795
494	2734	2789
495	2740	2784
496	2745	2778
497	2750	2772
498	2755	2766
499	2761	2761
500	2767	2756
501	2772	2750
502	2777	2744
503	2783	2739
504	2789	2734
505	2795	2728
506	2800	2723
507	2806	2717
508	2810	2711
509	2815	2705
510	2820	2698
511	2825	2692
512	2829	2686
513	2834	2680
514	2839	2674
515	2844	2668
516	2849	2661
517	2853	2655
518	2858	2649
519	2863	2642
520	2867	2636
521	2872	2630
522	2878	2624
523	2883	2619
524	2889	2614
525	2895	2609
526	2902	2604
527	2908	2600
528	2914	2594
529	2919	2589
530	2925	2583
531	2930	2577
532	2935	2572
533	2942	2567
534	2948	2562
535	2953	2556
536	2958	2551
537	2963	2545
538	2968	2539
539	2973	2533
540	2978	2527
541	2985	2522
542	2990	2517
543	2997	2512
544	3003	2507
545	3011	2504
546	3016	2498
547	3021	2492
548	3026	2486
549	3031	2480
550	3036	2474
551	3041	2468
552	3045	2462
553	3050	2455
554	3055	2449
555	3060	2443
556	3065	2437
