epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.86547,1.64257,1.27612,1.27818,0.98968,1,0.995,0.95393,0.34982,1.77524,0.8927,8e-05,8e-05,8e-05
2,3.70081,1.35237,1.15864,1.19152,0.99005,1,0.995,0.83126,0.79657,0.98791,0.87859,0.000176436,0.000176436,0.000176436
3,4.37344,1.26466,1.08988,1.10238,0.99273,1,0.995,0.71869,1.19502,0.85098,0.96633,0.000268912,0.000268912,0.000268912
4,5.08257,1.16147,1.09678,1.06425,0.99227,1,0.995,0.6983,1.25337,0.83505,0.99135,0.000357428,0.000357428,0.000357428
5,5.76189,1.25749,1.09422,1.0748,0.98992,1,0.995,0.72197,1.19443,0.83697,0.97946,0.000441984,0.000441984,0.000441984
6,6.41054,1.25833,1.09028,1.10482,0.99185,1,0.995,0.7243,1.17304,0.71805,0.97556,0.00052258,0.00052258,0.00052258
7,7.07144,1.27516,1.0731,1.07154,0.9947,1,0.995,0.71189,1.18079,0.60924,0.98779,0.000599216,0.000599216,0.000599216
8,7.73213,1.26701,1.0224,1.10169,0.9946,1,0.995,0.67671,1.29556,0.60755,1.03494,0.000671892,0.000671892,0.000671892
9,8.39698,1.23289,1.09363,1.06589,0.99466,1,0.995,0.68414,1.22134,0.55096,1.00859,0.000740608,0.000740608,0.000740608
10,9.04891,1.21176,0.97472,1.08489,0.99375,1,0.995,0.7332,1.24156,0.55162,1.01536,0.000805364,0.000805364,0.000805364
11,9.70747,1.25487,1.0912,1.08598,0.99455,1,0.995,0.67779,1.27533,0.5555,1.03199,0.00086616,0.00086616,0.00086616
12,10.3615,1.23469,1.05365,1.04809,0.99486,1,0.995,0.71886,1.09222,0.51281,0.9673,0.000922996,0.000922996,0.000922996
13,10.9981,1.23738,1.04112,1.06908,0.99485,1,0.995,0.73556,1.07197,0.53834,0.95825,0.000975872,0.000975872,0.000975872
14,11.7317,1.21956,0.94391,1.05616,0.99487,1,0.995,0.66718,1.23626,0.69007,1.01543,0.00102479,0.00102479,0.00102479
15,12.3881,1.16993,1.00888,1.03181,0.99432,1,0.995,0.66953,1.38372,0.66271,1.08002,0.00106974,0.00106974,0.00106974
16,13.0227,1.23099,1.06625,1.05059,0.99457,1,0.995,0.69011,1.29654,0.64653,1.0526,0.00111074,0.00111074,0.00111074
17,13.6813,1.21428,1.07931,1.06162,0.9947,1,0.995,0.69804,1.27336,0.55247,1.04786,0.00114778,0.00114778,0.00114778
18,14.3311,1.16796,0.94361,1.02293,0.99501,1,0.995,0.69161,1.26649,0.51535,1.0284,0.00118085,0.00118085,0.00118085
19,15.0058,1.21794,1.04996,1.04741,0.99508,1,0.995,0.69272,1.27,0.54878,1.02888,0.00120997,0.00120997,0.00120997
20,15.6607,1.25123,1.01201,1.08168,0.99516,1,0.995,0.67829,1.3285,0.55456,1.06569,0.00123512,0.00123512,0.00123512
21,16.307,1.17973,0.96218,1.04044,0.99481,1,0.995,0.67898,1.31129,0.54018,1.0633,0.001208,0.001208,0.001208
22,16.9588,1.17821,0.99251,1.04126,0.99435,1,0.995,0.67982,1.26442,0.53303,1.04548,0.0011684,0.0011684,0.0011684
23,17.6078,1.24031,0.96384,1.04529,0.99419,1,0.995,0.67982,1.29947,0.54291,1.05483,0.0011288,0.0011288,0.0011288
24,18.2982,1.23469,0.97622,1.03857,0.99491,1,0.995,0.66821,1.41503,0.55368,1.08371,0.0010892,0.0010892,0.0010892
25,18.9501,1.13746,0.90284,1.01138,0.99501,1,0.995,0.61727,1.4961,0.5696,1.12314,0.0010496,0.0010496,0.0010496
26,19.6047,1.12401,0.88417,1.00261,0.99498,1,0.995,0.62131,1.55508,0.58265,1.14837,0.00101,0.00101,0.00101
27,20.2485,1.15427,0.90172,1.04362,0.99473,1,0.995,0.6349,1.48904,0.57835,1.11367,0.0009704,0.0009704,0.0009704
28,20.8969,1.18682,0.91608,1.02853,0.99453,1,0.995,0.69013,1.22615,0.52348,0.99952,0.0009308,0.0009308,0.0009308
29,21.549,1.13356,0.87268,1.01309,0.99424,1,0.995,0.71547,1.09865,0.50895,0.95442,0.0008912,0.0008912,0.0008912
30,22.1918,1.164,0.86728,1.01427,0.99419,1,0.995,0.74778,1.01449,0.497,0.93378,0.0008516,0.0008516,0.0008516
31,22.8405,1.15637,0.92326,1.04978,0.99422,1,0.995,0.7378,1.07036,0.51069,0.95465,0.000812,0.000812,0.000812
32,23.4978,1.12306,0.90237,0.97989,0.9941,1,0.995,0.68859,1.22432,0.53781,1.01215,0.0007724,0.0007724,0.0007724
33,24.2224,1.11226,0.81488,0.99225,0.99429,1,0.995,0.69274,1.19971,0.52986,0.99815,0.0007328,0.0007328,0.0007328
34,24.8795,1.12511,0.84256,1.01802,0.99439,1,0.995,0.70819,1.10028,0.50767,0.958,0.0006932,0.0006932,0.0006932
35,25.5323,1.0917,0.84269,0.99611,0.9944,1,0.995,0.73483,1.06776,0.51439,0.94742,0.0006536,0.0006536,0.0006536
36,26.1863,1.11562,0.80382,0.99834,0.99441,1,0.995,0.68971,1.20618,0.54269,0.99478,0.000614,0.000614,0.000614
37,26.8299,1.0463,0.78997,0.99246,0.99439,1,0.995,0.67661,1.2393,0.54363,1.00755,0.0005744,0.0005744,0.0005744
38,27.4675,1.07281,0.82955,1.00093,0.99423,1,0.995,0.69054,1.25465,0.53659,1.01431,0.0005348,0.0005348,0.0005348
39,28.1005,1.03173,0.79255,0.98415,0.99415,1,0.995,0.69335,1.23455,0.51642,1.01211,0.0004952,0.0004952,0.0004952
40,28.7626,1.16585,0.82416,1.03638,0.99384,1,0.995,0.73707,1.13167,0.48268,0.98137,0.0004556,0.0004556,0.0004556
41,31.8187,0.97133,0.87898,0.98346,0.99363,1,0.995,0.73707,1.15029,0.4762,0.98771,0.000416,0.000416,0.000416
42,32.6194,1.03802,0.90244,0.97701,0.99335,1,0.995,0.74106,1.19836,0.48575,1.0036,0.0003764,0.0003764,0.0003764
43,33.2539,1.02413,0.85588,0.95966,0.99344,1,0.995,0.70875,1.24876,0.50521,1.01937,0.0003368,0.0003368,0.0003368
44,33.8961,1.03121,0.84874,0.96805,0.99344,1,0.995,0.69308,1.27316,0.52252,1.02247,0.0002972,0.0002972,0.0002972
45,34.5306,1.03257,0.91235,0.97021,0.99328,1,0.995,0.67942,1.31237,0.53304,1.03898,0.0002576,0.0002576,0.0002576
46,35.2062,1.01006,0.94811,0.99452,0.99309,1,0.995,0.67533,1.35066,0.54375,1.05615,0.000218,0.000218,0.000218
47,35.836,1.0204,0.86724,0.98867,0.99337,1,0.995,0.66437,1.36179,0.53818,1.06395,0.0001784,0.0001784,0.0001784
48,36.4977,1.04435,0.88522,0.97454,0.99379,1,0.995,0.64962,1.37601,0.52747,1.0773,0.0001388,0.0001388,0.0001388
49,37.1489,0.99582,0.89056,0.96892,0.99404,1,0.995,0.6386,1.36063,0.51843,1.07324,9.92e-05,9.92e-05,9.92e-05
50,37.8578,1.0245,0.82653,0.97234,0.99411,1,0.995,0.6386,1.34898,0.51678,1.06853,5.96e-05,5.96e-05,5.96e-05
