epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7556,1.53626,3.52758,0.00919,0.84395,0.69406,0.76369,0.56322,1.05531,1.43109,0.00924,0.00044,0.00044,0.00044
2,66.8432,1.53951,1.60015,0.00932,0.84389,0.72603,0.79467,0.55167,1.23853,1.06283,0.01125,0.00089109,0.00089109,0.00089109
3,79.8823,1.67025,1.38846,0.01012,0.39782,0.34247,0.25876,0.09994,1.6075,2.52185,0.01718,0.00133307,0.00133307,0.00133307
4,93.5952,1.66159,1.22121,0.00948,0.43612,0.6484,0.50706,0.29214,1.57142,1.48611,0.01599,0.00176595,0.00176595,0.00176595
5,107.735,1.68155,1.24407,0.00996,0.67264,0.60274,0.63059,0.38836,1.34345,1.25039,0.01266,0.0019208,0.0019208,0.0019208
6,122.539,1.65522,1.14208,0.00962,0.82175,0.73677,0.81058,0.41757,1.85587,0.85658,0.01849,0.001901,0.001901,0.001901
7,136.989,1.62835,1.08609,0.00997,0.6106,0.48858,0.52964,0.29748,1.69581,1.71041,0.01644,0.0018812,0.0018812,0.0018812
8,151.557,1.55111,1.02071,0.00984,0.90847,0.72518,0.8317,0.4508,1.71343,0.7749,0.01773,0.0018614,0.0018614,0.0018614
9,166.629,1.61462,1.11433,0.01004,0.80249,0.66792,0.71781,0.42156,1.59699,1.25941,0.01546,0.0018416,0.0018416,0.0018416
10,180.872,1.54193,1.00424,0.009,0.79855,0.19913,0.23381,0.14786,1.64148,3.41801,0.01736,0.0018218,0.0018218,0.0018218
11,194.157,1.49669,0.97011,0.00931,0.90316,0.59622,0.66651,0.40142,1.58956,1.5076,0.01409,0.001802,0.001802,0.001802
12,207.053,1.49042,0.96804,0.00946,0.68309,0.10046,0.15842,0.10895,2.61172,4.78221,0.03304,0.0017822,0.0017822,0.0017822
13,220.2,1.44563,0.95241,0.008,0.71177,0.09024,0.0965,0.07359,2.61369,4.91559,0.03221,0.0017624,0.0017624,0.0017624
14,234.387,1.5528,0.97909,0.00882,0.71819,0.45205,0.49385,0.34647,1.60835,2.2522,0.01589,0.0017426,0.0017426,0.0017426
15,248.823,1.44742,0.91159,0.00823,0.91454,0.71233,0.81009,0.61179,1.05249,0.71134,0.00852,0.0017228,0.0017228,0.0017228
16,263.592,1.475,0.85611,0.00891,0.89013,0.6895,0.77235,0.57103,1.13362,0.77708,0.0098,0.001703,0.001703,0.001703
